fingerprint,file_name,folder,extension,size_kb,timestamp
2697877094993c1fced11731c5d91465cb9ad7f5af4a30968a1beac8a4523758,visualizer.js,web_learning,js,10.69,2025-12-22T02:52:13.494000
a34c2f5c55e0db07a20d5aef2960fdf3b8c3e853e79f6c6a68a5f038fae221a8,styles.css,web_learning,css,13.88,2025-12-22T02:52:13.494000
15163de3784d614219ae79c499f303850475e3dd2e4ee9cffae14e7cdcd1049c,server.py,web_learning,py,1.37,2025-12-22T02:52:13.494000
a762fdc8fbc5b498c6ab64a57e39b407ad56e61dd0d8e48f0e410306cca6e871,package.json,web_learning,json,0.44,2025-12-22T02:52:13.442000
178cca5ba39a365191fd9d9d83574063204b1c4ad374a8c0c4f8bb0d54528476,package-lock.json,web_learning,json,0.22,2025-12-22T02:52:13.442000
d995ae98876e31b2b90481c9279b236560ec7c69260e3d72d996c160bdb60002,heap.js,web_learning,js,8.32,2025-12-22T02:52:13.442000
cb605d572f3400da5c1cbe1760b1c005e7c18a19944d6e43fdd132f7f8bf1cb7,app.js,web_learning,js,14.0,2025-12-22T02:52:13.442000
c555ff86aa78b50797dd29f42f17152864ca1411e5b41b60f95c6d42521e0d51,VISUALIZATION_GUIDE.md,web_learning,md,4.05,2025-12-22T02:52:13.442000
edf21b1f5539a86f3611d4f625d92480bd488a688e31af7cce6c6000a7f08e40,README.md,web_learning,md,2.67,2025-12-22T02:52:13.442000
b22b3c789f17a1d896dda1d849904470276acf3b618f4c0c4ef4eac3b764986b,QUICKSTART.md,web_learning,md,1.59,2025-12-22T02:52:13.442000
299662081211182986b7d47aeadd6528627fe44f012cb1a93f229236c447bc4f,README.md,Web-Application-Penetration-Testing,md,5.31,2025-12-22T02:48:55.270000
c2208d38b09decb8e0b1050af595e68eb0061250dc029ddf5404cc6936da1df9,Unshare_root,Notes,none,0.02,2025-12-22T02:48:55.266000
381c90d9db31351e562fe4a37ea2fdca967e91132eb105c7ca14be39c7d2b5f2,sqlmap,Notes,none,8.38,2025-12-22T02:48:55.270000
4a03fd9d66555e84b87ee421aed91b955049a23d043833c1297f2e5c3b36e341,session,Notes,none,0.07,2025-12-22T02:48:55.270000
614606bbb559d123ec78d344777b5bf774b951b7279cf81b738bda282e823e96,useful-things_i_dont_know,Notes,none,0.09,2025-12-22T02:48:55.270000
11c1cf97159b13e412dc4529b70459bcb8ffbffdc89a8d08e14d78ade6502593,hping3-notes,Notes,none,0.17,2025-12-22T02:48:55.266000
e26aafa850ebedeced445e0854dbbf2c23d87d95483894be118a9e27d445fe1e,scp.save,Notes,save,0.15,2025-12-22T02:48:55.266000
9449308599ca7e7ee87e7953e4952c7416d1a654bc6d1643a0b29ae699e1d172,df_du,Notes,none,0.44,2025-12-22T02:48:55.266000
c412518ab408638c178657da9a9b27ac881856aee6d10ae3d62746a05804ab30,forensic101-lab,Notes,none,0.13,2025-12-22T02:48:55.266000
8e7c4d6c3fa783c29d371732d14d80028e5166e303143d26c7c0b5c28e93745d,linux,Notes,none,0.31,2025-12-22T02:48:55.266000
004a67af937028997780b84e2b1a99cb1058c750381654e6b9fffddf40ca48bf,key,Notes,none,0.75,2025-12-22T02:48:55.266000
a3067d6cd26018ef00bdb3dc3429a5c01c88d054dc154753a3ba80b8d69056a7,kali,Notes,none,2.13,2025-12-22T02:48:55.266000
e07059ec1ea6abc166456b77d3bfd53e1c4a78a1310ce59895fef97addd99201,crontab,Notes,none,0.37,2025-12-22T02:48:55.266000
711744531780574fc0757cf73c97f2101efd706e35c7403ca5a484a586d2b56b,ngrok_setup,Notes,none,0.37,2025-12-22T02:48:55.266000
39ee520d9a626f7baf813cef9bb5acc42c4deaad216ce8d757d6267064e978b3,forbidenlink,Notes,none,0.21,2025-12-22T02:48:55.266000
7c0c59bbf47afa92bed9fc95134e009c4514fa104663073c706514b94fa947e8,new,Notes,none,0.44,2025-12-22T02:48:55.266000
3ae5b3559753fd6c629a44e6b25f14c2d195088674143a923b5415928d003d6e,netcat,Notes,none,1.07,2025-12-22T02:48:55.266000
